CYCLIC
INTERPOLATION LINEAR
TIME_UNITS yr
DATA_UNITS Pa
0.328767123 4954.83121780235
0.331506849 5016.77737912359
0.334246575 5271.23501284034
0.336986301 5880.68373414063
0.339726027 6384.29589043148
0.342465753 6845.63127791728
0.345205479 7108.56686922968
0.347945205 7104.5146775315
0.350684932 7125.1531004304
0.353424658 7425.45349779295
0.356164384 8049.66049539909
0.35890411 8808.87714780459
0.361643836 9000.75742884816
0.364383562 8736.8779640105
0.367123288 8475.54203316316
0.369863014 7974.68656966255
0.37260274 7345.80265867014
0.375342466 6785.60424665287
0.378082192 6465.49488845767
0.380821918 6335.77963660598
0.383561644 6407.58835265155
0.38630137 6388.90058214402
0.389041096 6680.1614631045
0.391780822 7362.31134848782
0.394520548 7858.60174703409
0.397260274 7798.34404703977
0.4 7364.12968016095
0.402739726 7698.80937324726
0.405479452 8313.03026332052
0.408219178 8685.35790993463
0.410958904 9060.75907487961
0.41369863 9454.97533013242
0.416438356 9776.22485582314
0.419178082 10214.1942835767
0.421917808 10743.8822441087
0.424657534 11136.86825926
0.42739726 11026.7338957752
0.430136986 10793.1446986807
0.432876712 10900.3683070781
0.435616438 10899.8049476037
0.438356164 10890.030586742
0.44109589 10590.2367988978
0.443835616 10009.8307390969
0.446575342 9292.22818214378
0.449315068 9391.38717882797
0.452054795 9696.63060025965
0.454794521 10197.1035579157
0.457534247 10686.6307502435
0.460273973 10679.691353699
0.463013699 10447.094168279
0.465753425 10503.5667382641
0.468493151 10199.9799350039
0.471232877 9664.20064747054
0.473972603 9204.90979159154
0.476712329 8792.8535311071
0.479452055 8511.47684037224
0.482191781 8341.01690228849
0.484931507 8217.1665579697
0.487671233 7925.22248631324
0.490410959 7626.32208402703
0.493150685 7395.71284291238
0.495890411 7181.18601317194
0.498630137 6929.83812064794
0.501369863 6920.43113207246
0.504109589 6953.33972253719
0.506849315 6871.103596231
0.509589041 6779.91371045401
0.512328767 6750.42703000461
0.515068493 6673.60854099181
0.517808219 6626.44971331814
0.520547945 6638.88134969556
0.523287671 6618.62489356594
0.526027397 6527.90162325229
0.528767123 6301.58739752896
0.531506849 6099.35309864191
0.534246575 6008.39663523202
0.536986301 5967.48249730437
0.539726027 6053.67210742669
0.542465753 6274.98766423701
0.545205479 6294.05493251051
0.547945205 5941.81455080682
0.550684932 5792.67790203267
0.553424658 5675.41776776855
0.556164384 5700.87798225713
0.55890411 5962.68703882564
0.561643836 5771.43625877263
0.564383562 5569.95537985029
0.567123288 5582.89734810925
0.569863014 5917.13382216839
0.57260274 5732.93272823181
0.575342466 5476.58208642095
0.578082192 5317.55564316465
0.580821918 5240.48352786373
0.583561644 5198.05958076636
0.58630137 5096.69482060221
0.589041096 5041.13503527852
0.591780822 4976.87884430799
0.594520548 4928.767649938
