# x_m, elev_m
1.378744086021505382e+02,2.831885814475051575e+03
1.382752063015753947e+02,2.831729917771167038e+03
1.386760040010002513e+02,2.831574021067282956e+03
1.390768017004251078e+02,2.831418124363398874e+03
1.394775993998499644e+02,2.831262227659514338e+03
1.398783970992748209e+02,2.831106804885542260e+03
1.402791947986996774e+02,2.830951911101023143e+03
1.406799924981245340e+02,2.830797017316503570e+03
1.410807901975493905e+02,2.830642123531983998e+03
1.414815878969742471e+02,2.830487229747464880e+03
1.418823855963991036e+02,2.830332335962945308e+03
1.422831832958239602e+02,2.830177442178426190e+03
1.426839809952488167e+02,2.830022548393906618e+03
1.430847786946736733e+02,2.829867654609387046e+03
1.434855763940985298e+02,2.829712760824867928e+03
1.438863740935233864e+02,2.829557867040348356e+03
1.442871717929482429e+02,2.829402973255828783e+03
1.446879694923730995e+02,2.829247848014529609e+03
1.450887671917979560e+02,2.829074286861611199e+03
1.454895648912228125e+02,2.828900725708692789e+03
1.458903625906476691e+02,2.828727164555773925e+03
1.462911602900725256e+02,2.828553603402855515e+03
1.466919579894973822e+02,2.828380042249937105e+03
1.470927556889222387e+02,2.828206481097018695e+03
1.474935533883470953e+02,2.828032919944099831e+03
1.478943510877719518e+02,2.827859358791181421e+03
1.482951487871968084e+02,2.827685797638263011e+03
1.486959464866216649e+02,2.827512236485344602e+03
1.490967441860465215e+02,2.827338675332425737e+03
1.494975418854713780e+02,2.827165114179507327e+03
1.498983395848962346e+02,2.827000474865136312e+03
1.502991372843210911e+02,2.826842642835530114e+03
1.506999349837459476e+02,2.826684810805923462e+03
1.511007326831708042e+02,2.826526978776317264e+03
1.515015303825956607e+02,2.826369146746710612e+03
1.519023280820205173e+02,2.826211314717104415e+03
1.523031257814453738e+02,2.826053482687497763e+03
1.527039234808702304e+02,2.825895650657891110e+03
1.531047211802950869e+02,2.825737818628284913e+03
1.535055188797199435e+02,2.825579986598678261e+03
1.539063165791448000e+02,2.825422154569072063e+03
1.543071142785696281e+02,2.825264322539465411e+03
1.547079119779944847e+02,2.825107333792716418e+03
1.551087096774193412e+02,2.824987426658059576e+03
1.555095073768441978e+02,2.824867519523402279e+03
1.559103050762690543e+02,2.824747612388744983e+03
1.563111027756939109e+02,2.824627705254088141e+03
1.567119004751187674e+02,2.824507798119430845e+03
1.571126981745436240e+02,2.824387890984774003e+03
1.575134958739684805e+02,2.824267983850116707e+03
1.579142935733933371e+02,2.824148076715459410e+03
1.583150912728181936e+02,2.824028169580802569e+03
1.587158889722430501e+02,2.823908262446145272e+03
1.591166866716679067e+02,2.823788355311487976e+03
1.595174843710927632e+02,2.823668448176831134e+03
1.599182820705176198e+02,2.823561736803994791e+03
1.603190797699424763e+02,2.823461253757636769e+03
1.607198774693673329e+02,2.823360770711278747e+03
