# x_m, elev_m
4.155381481481481387e+02,2.768916845918806303e+03
4.171425425425425146e+02,2.768566667726998276e+03
4.187469369369369474e+02,2.768216489535190249e+03
4.203513313313313233e+02,2.767821980995476679e+03
4.219557257257256992e+02,2.767363766989032683e+03
4.235601201201201320e+02,2.766905552982588688e+03
4.251645145145145079e+02,2.766457947862392302e+03
4.267689089089088839e+02,2.766033808616806255e+03
4.283733033033033166e+02,2.765609669371219752e+03
4.299776976976976925e+02,2.765189064842441439e+03
4.315820920920920685e+02,2.764785057390186466e+03
4.331864864864865012e+02,2.764381049937931493e+03
4.347908808808808772e+02,2.763982700337722690e+03
4.363952752752752531e+02,2.763648049280729083e+03
4.379996696696696858e+02,2.763313398223735021e+03
4.396040640640640618e+02,2.762978747166741414e+03
4.412084584584584377e+02,2.762626052770801380e+03
4.428128528528528136e+02,2.762272874096830492e+03
4.444172472472472464e+02,2.761919695422859149e+03
4.460216416416416223e+02,2.761589200931206051e+03
4.476260360360359982e+02,2.761262420977433976e+03
4.492304304304304310e+02,2.760935641023661901e+03
4.508348248248248069e+02,2.760691701621203265e+03
4.524392192192191828e+02,2.760482040110074195e+03
4.540436136136136156e+02,2.760272378598944670e+03
4.556480080080079915e+02,2.760092618675464109e+03
4.572524024024023674e+02,2.759932211317496240e+03
4.588567967967968002e+02,2.759771803959528370e+03
4.604611911911911761e+02,2.759644318684543123e+03
4.620655855855855521e+02,2.759551096008852255e+03
4.636699799799799848e+02,2.759457873333160933e+03
4.652743743743743607e+02,2.759366889522055772e+03
4.668787687687687367e+02,2.759279571141389624e+03
4.684831631631631694e+02,2.759192252760723022e+03
4.700875575575575454e+02,2.759112470766038768e+03
4.716919519519519213e+02,2.759051406075546765e+03
4.732963463463463540e+02,2.758990341385055217e+03
4.749007407407407300e+02,2.758936065073453392e+03
4.765051351351351059e+02,2.758913657330514980e+03
4.781095295295295386e+02,2.758891249587576567e+03
4.797139239239239146e+02,2.758865314087043771e+03
4.813183183183182905e+02,2.758774652042557136e+03
4.829227127127127233e+02,2.758683989998070956e+03
4.845271071071070992e+02,2.758593327953584321e+03
4.861315015015014751e+02,2.758411293686030604e+03
4.877358958958959079e+02,2.758225777587795164e+03
4.893402902902902838e+02,2.758040261489559725e+03
4.909446846846846597e+02,2.757777911506084820e+03
4.925490790790790925e+02,2.757500585427305396e+03
4.941534734734734684e+02,2.757223259348525517e+03
4.957578678678678443e+02,2.757108101427282691e+03
4.973622622622622771e+02,2.757075107711937108e+03
4.989666566566566530e+02,2.757042113996591524e+03
5.005710510510510289e+02,2.757032841044928318e+03
5.021754454454454049e+02,2.757071782656442792e+03
5.037798398398398376e+02,2.757110724267957266e+03
5.053842342342342135e+02,2.757137920178242894e+03
5.069886286286285895e+02,2.757153603407904484e+03
5.085930230230230222e+02,2.757169286637566074e+03
5.101974174174173982e+02,2.757190123803612551e+03
5.118018118118117741e+02,2.757222071123293517e+03
5.134062062062062068e+02,2.757254018442974939e+03
5.150106006006005828e+02,2.757272599408795486e+03
5.166149949949949587e+02,2.757232968423343209e+03
5.182193893893893346e+02,2.757193337437890477e+03
5.198237837837838242e+02,2.757163562697735415e+03
5.214281781781782001e+02,2.757185997297737231e+03
5.230325725725725761e+02,2.757208431897738592e+03
5.246369669669669520e+02,2.757228165934284789e+03
5.262413613613613279e+02,2.757180679912351025e+03
5.278457557557557038e+02,2.757133193890417715e+03
5.294501501501500798e+02,2.757085707868483951e+03
5.310545445445445694e+02,2.757063132309764569e+03
5.326589389389389453e+02,2.757043960100311324e+03
5.342633333333333212e+02,2.757024787890858534e+03
5.358677277277276971e+02,2.757012744257216582e+03
5.374721221221220731e+02,2.757003073404929637e+03
5.390765165165164490e+02,2.756993402552642692e+03
5.406809109109109386e+02,2.757002284830607096e+03
5.422853053053053145e+02,2.757021238101657673e+03
5.438896996996996904e+02,2.757040191372707795e+03
5.454940940940940663e+02,2.757059382958716469e+03
5.470984884884884423e+02,2.757078830163497059e+03
5.487028828828828182e+02,2.757098277368277650e+03
5.503072772772773078e+02,2.757137884049523109e+03
5.519116716716716837e+02,2.757208084281576703e+03
5.535160660660660596e+02,2.757278284513630751e+03
5.551204604604604356e+02,2.757336427698143325e+03
5.567248548548548115e+02,2.757360838415440867e+03
5.583292492492491874e+02,2.757385249132738409e+03
5.599336436436436770e+02,2.757409659850036405e+03
5.615380380380380529e+02,2.757384732872221321e+03
5.631424324324324289e+02,2.757359108685447154e+03
5.647468268268268048e+02,2.757333484498672988e+03
5.663512212212211807e+02,2.757316028812525474e+03
5.679556156156155566e+02,2.757299858742031574e+03
5.695600100100100462e+02,2.757283688671538130e+03
5.711644044044044222e+02,2.757287286160449639e+03
5.727687987987987981e+02,2.757296725625409636e+03
5.743731931931931740e+02,2.757306165090369632e+03
5.759775875875875499e+02,2.757286289045734975e+03
5.775819819819819259e+02,2.757246353902128703e+03
5.791863763763764155e+02,2.757206418758521977e+03
5.807907707707707914e+02,2.757128078579075463e+03
5.823951651651651673e+02,2.757022924626712211e+03
5.839995595595595432e+02,2.756917770674348958e+03
5.856039539539539192e+02,2.756753029487981621e+03
5.872083483483482951e+02,2.756515638311255316e+03
5.888127427427426710e+02,2.756278247134529011e+03
5.904171371371371606e+02,2.756073346513380784e+03
5.920215315315315365e+02,2.755992901547757356e+03
5.936259259259259125e+02,2.755912456582133927e+03
5.952303203203202884e+02,2.755834496148251674e+03
5.968347147147146643e+02,2.755779071021845084e+03
5.984391091091090402e+02,2.755723645895438494e+03
6.000435035035035298e+02,2.755684752309886790e+03
6.016478978978979058e+02,2.756144304023396217e+03
6.032522922922922817e+02,2.756603855736906098e+03
6.048566866866866576e+02,2.757063407450415525e+03
6.064610810810810335e+02,2.757150000000000091e+03
6.080654754754754094e+02,2.757150000000000091e+03
6.096698698698698990e+02,2.757150000000000091e+03
